,id,link,coordinates,address,stars
155,87420099299,https://yandex.ru/maps/org/ozon/87420099299/,"30.213777,60.007804","Богатырский просп., 55, корп. 1",4.7
156,88118294971,https://yandex.ru/maps/org/ozon/88118294971/,"30.425193,60.034852","просп. Просвещения, 104, Середина дома, вывеска OZON",4.3
157,88497708729,https://yandex.ru/maps/org/ozon/88497708729/,"30.430396,59.994454","просп. Непокорённых, 74",4.8
158,90852353649,https://yandex.ru/maps/org/ozon/90852353649/,"30.351219,60.044274","просп. Художников, 27, корп. 1",4.7
159,91181226904,https://yandex.ru/maps/org/ozon/91181226904/,"30.340644,59.967831","Малый Сампсониевский просп., 2",2.2
160,91584648594,https://yandex.ru/maps/org/ozon/91584648594/,"30.457757,60.027984","ул. Корнея Чуковского, 5, корп. 3",4.9
161,91783182632,https://yandex.ru/maps/org/ozon/91783182632/,"30.458653,60.066264","ул. Шоссе в Лаврики, 95, Мурино",4.7
162,92911555773,https://yandex.ru/maps/org/ozon/92911555773/,"30.378105,60.044504","просп. Просвещения, 68, корп. 1",4.3
163,94276840407,https://yandex.ru/maps/org/ozon/94276840407/,"30.271936,59.900537","площадь Стачек, 7, этаж 1",3.6
164,94772539391,https://yandex.ru/maps/org/ozon/94772539391/,"30.259190,59.989270","Торфяная дорога, 7Б, этаж 1",4.0
165,95509491446,https://yandex.ru/maps/org/ozon/95509491446/,"30.321454,59.911721","Малодетскосельский просп., 34",4.4
166,95606249212,https://yandex.ru/maps/org/ozon/95606249212/,"30.236966,59.998848","Планерная ул., 17, этаж 1",4.8
167,95698694603,https://yandex.ru/maps/org/ozon/95698694603/,"30.313873,59.915481","ул. Егорова, 3, подъезд 1",3.7
168,96303590524,https://yandex.ru/maps/org/ozon/96303590524/,"30.446888,60.041095","Новая ул., 7, Мурино",4.7
169,96792838617,https://yandex.ru/maps/org/ozon/96792838617/,"30.283183,59.898609","Балтийская ул., 20",4.8
170,97582431450,https://yandex.ru/maps/org/ozon/97582431450/,"30.357663,59.982113","Новолитовская ул., 12",4.4
171,97680907323,https://yandex.ru/maps/org/ozon/97680907323/,"30.451622,59.898995","ул. Дыбенко, 5, корп. 1",4.4
172,99649449499,https://yandex.ru/maps/org/ozon/99649449499/,"30.206003,59.935912","бул. Александра Грина, 2, корп. 1, подъезд 1",4.6
173,101968934249,https://yandex.ru/maps/org/ozon/101968934249/,"30.384988,60.034418","просп. Луначарского, 86, корп. 3",4.8
174,102039345594,https://yandex.ru/maps/org/ozon/102039345594/,"30.262840,60.008684","ул. Уточкина, 1, корп. 1",4.4
175,103704666521,https://yandex.ru/maps/org/ozon/103704666521/,"30.394272,59.982139","Кондратьевский просп., 64, корп. 2",4.8
176,104458731985,https://yandex.ru/maps/org/ozon/104458731985/,"30.283015,60.007056","Серебристый бул., 21",5.0
177,104805762965,https://yandex.ru/maps/org/ozon/104805762965/,"30.327810,59.955443","Мичуринская ул., 10А",4.4
178,105148440017,https://yandex.ru/maps/org/ozon/105148440017/,"30.249451,59.935524","ул. Беринга, 1",4.5
179,106012395424,https://yandex.ru/maps/org/ozon/106012395424/,"30.358286,59.956208","ул. Комсомола, 35",4.3
180,107042795448,https://yandex.ru/maps/org/ozon/107042795448/,"30.314884,60.017383","Скобелевский просп., 18",4.5
181,107246651608,https://yandex.ru/maps/org/ozon/107246651608/,"30.336543,59.922465","Звенигородская ул., 6",4.6
182,107303964750,https://yandex.ru/maps/org/ozon/107303964750/,"30.478302,60.001835","Чарушинская ул., 24, корп. 1",4.7
183,107600029482,https://yandex.ru/maps/org/ozon/107600029482/,"30.325948,59.985175","Белоостровская ул., 10, корп. 1",4.6
184,108777368634,https://yandex.ru/maps/org/ozon/108777368634/,"30.340691,59.945030","Гангутская ул., 12",4.2
185,109939529383,https://yandex.ru/maps/org/ozon/109939529383/,"30.299906,59.962698","Лахтинская ул., 18",4.5
186,110535358563,https://yandex.ru/maps/org/ozon/110535358563/,"30.308842,60.017640","Фермское ш., 32, этаж 1",4.4
187,111053061465,https://yandex.ru/maps/org/ozon/111053061465/,"30.353375,59.961411","Лесной просп., 1",4.4
188,111177622525,https://yandex.ru/maps/org/ozon/111177622525/,"30.322543,59.996034","Ланское ш., 69",5.0
189,112210475656,https://yandex.ru/maps/org/ozon/112210475656/,"30.313383,60.051767","ул. Композиторов, 12",4.9
190,112773479323,https://yandex.ru/maps/org/ozon/112773479323/,"30.406722,60.008929","ул. Бутлерова, 13",4.6
191,112986951078,https://yandex.ru/maps/org/ozon/112986951078/,"30.269693,59.963039","Пионерская ул., 50",4.4
192,113873753827,https://yandex.ru/maps/org/ozon/113873753827/,"30.333967,60.018469","просп. Тореза, 96",4.8
193,114856493674,https://yandex.ru/maps/org/ozon/114856493674/,"30.388021,59.985962","Бестужевская ул., 7, корп. 2",4.4
194,115721220719,https://yandex.ru/maps/org/ozon/115721220719/,"30.209772,59.988428","ул. Савушкина, 135, корп. 4",4.4
195,118759078495,https://yandex.ru/maps/org/ozon/118759078495/,"30.388820,59.972379","Кондратьевский просп., 49",4.2
196,120290578182,https://yandex.ru/maps/org/ozon/120290578182/,"30.425423,60.006538","просп. Науки, 44",4.5
197,120306122097,https://yandex.ru/maps/org/ozon/120306122097/,"30.367854,60.014552","Тихорецкий просп., 12, корп. 1",4.3
198,120653964614,https://yandex.ru/maps/org/ozon/120653964614/,"30.262680,59.930373","26-я линия Васильевского острова, 7",4.4
199,121640075998,https://yandex.ru/maps/org/ozon/121640075998/,"30.470175,59.927224","ул. Латышских Стрелков, 1, этаж цокольный",4.3
200,122239561629,https://yandex.ru/maps/org/ozon/122239561629/,"30.414935,60.007705","просп. Науки, 47, корп. 2",4.3
201,123132905717,https://yandex.ru/maps/org/ozon/123132905717/,"30.239404,60.010474","ул. Ильюшина, 13, корп. 2",5.0
202,123446841415,https://yandex.ru/maps/org/ozon/123446841415/,"30.255262,60.021486","просп. Королёва, 43, корп. 1",4.3
203,126689255045,https://yandex.ru/maps/org/ozon/126689255045/,"30.383657,59.973221","Полюстровский просп., 59Ф",4.3
204,128033027699,https://yandex.ru/maps/org/ozon/128033027699/,"30.320899,60.018623","просп. Энгельса, 70/1, этаж 1",4.4
205,129337962852,https://yandex.ru/maps/org/ozon/129337962852/,"30.380825,59.946346","Калужский пер., 7, этаж 2",4.7
206,129607274504,https://yandex.ru/maps/org/ozon/129607274504/,"30.311988,59.927947","Гражданская ул., 17/8",4.4
207,129918673012,https://yandex.ru/maps/org/ozon/129918673012/,"30.357440,59.948036","Захарьевская ул., 14В",4.1
208,131184726842,https://yandex.ru/maps/org/ozon/131184726842/,"30.263784,60.004002","Комендантский просп., 9, корп. 2, секция 1-29, этаж 1",4.1
209,131745046168,https://yandex.ru/maps/org/ozon/131745046168/,"30.244711,60.016848","Долгоозёрная ул., 12, корп. 1",4.7
210,131760408192,https://yandex.ru/maps/org/ozon/131760408192/,"30.341883,59.957202","Финляндский просп., 4",4.8
211,131792463983,https://yandex.ru/maps/org/ozon/131792463983/,"30.264287,59.940398","17-я линия Васильевского острова, 38",4.0
212,131998853650,https://yandex.ru/maps/org/ozon/131998853650/,"30.204680,60.007131","Богатырский просп., 60, корп. 1",4.8
213,133590356470,https://yandex.ru/maps/org/ozon/133590356470/,"30.367719,59.936191","Греческий просп., 19",4.9
214,133761753896,https://yandex.ru/maps/org/ozon/133761753896/,"30.251448,59.940063","Малый просп. Васильевского острова, 64, корп. 1",4.5
215,134398244199,https://yandex.ru/maps/org/ozon/134398244199/,"30.370144,59.978818","просп. Маршала Блюхера, 7, корп. 3",4.9
216,135299984189,https://yandex.ru/maps/org/ozon/135299984189/,"30.358681,59.946598","просп. Чернышевского, 9",4.1
217,136914874824,https://yandex.ru/maps/org/ozon/136914874824/,"30.225265,59.986771","ул. Савушкина, 121, корп. 2",4.7
218,138554915542,https://yandex.ru/maps/org/ozon/138554915542/,"30.439156,59.959723","ш. Революции, 41/39, секция 59",4.8
219,138944688277,https://yandex.ru/maps/org/ozon/138944688277/,"30.273819,59.996583","Полевая Сабировская ул., 47, корп. 1",4.7
220,139009345813,https://yandex.ru/maps/org/ozon/139009345813/,"30.316644,59.903757","Московский просп., 73, корп. 4, домофон 920, этаж 1",4.1
